libgcrypt20	1.10.1-3	CVE-2024-2236	LOW	libgcrypt: vulnerable to Marvin Attack
libgnutls30	3.7.9-2+deb12u4	CVE-2011-3389	LOW	HTTPS: block-wise chosen-plaintext attack against SSL/TLS (BEAST)
libgomp1	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
libgomp1	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
libgprofng0	2.40-2	CVE-2017-13716	LOW	binutils: Memory leak with the C++ symbol demangler routine in libiberty
libgprofng0	2.40-2	CVE-2018-20673	LOW	libiberty: Integer overflow in demangle_template() function
libgprofng0	2.40-2	CVE-2018-20712	LOW	libiberty: heap-based buffer over-read in d_expression_1
libgprofng0	2.40-2	CVE-2018-9996	LOW	binutils: Stack-overflow in libiberty/cplus-dem.c causes crash
libgprofng0	2.40-2	CVE-2021-32256	LOW	binutils: stack-overflow issue in demangle_type in rust-demangle.c.
libgprofng0	2.40-2	CVE-2023-1972	LOW	binutils: Illegal memory access when accessing a zer0-lengthverdef table
libgprofng0	2.40-2	CVE-2024-53589	LOW	binutils: objdump: buffer Overflow in the BFD library's handling of tekhex format files
libgprofng0	2.40-2	CVE-2024-57360	LOW	binutils: nm: potential segmentation fault when displaying symbols without version info
libgprofng0	2.40-2	CVE-2025-0840	LOW	binutils: GNU Binutils objdump.c disassemble_bytes stack-based overflow
libgprofng0	2.40-2	CVE-2025-1147	LOW	binutils: GNU Binutils nm nm.c internal_strlen buffer overflow
libgprofng0	2.40-2	CVE-2025-1148	LOW	binutils: GNU Binutils ld ldelfgen.c link_order_scan memory leak
libgprofng0	2.40-2	CVE-2025-1149	LOW	binutils: GNU Binutils ld xmalloc.c xstrdup memory leak
libgprofng0	2.40-2	CVE-2025-1150	LOW	binutils: GNU Binutils ld libbfd.c bfd_malloc memory leak
libgprofng0	2.40-2	CVE-2025-1151	LOW	binutils: GNU Binutils ld xmemdup.c xmemdup memory leak
libgprofng0	2.40-2	CVE-2025-1152	LOW	binutils: GNU Binutils ld xstrdup.c xstrdup memory leak
libgprofng0	2.40-2	CVE-2025-1153	LOW	binutils: GNU Binutils format.c bfd_set_format memory corruption
libgprofng0	2.40-2	CVE-2025-1176	LOW	binutils: GNU Binutils ld elflink.c _bfd_elf_gc_mark_rsec heap-based overflow
libgprofng0	2.40-2	CVE-2025-1178	LOW	binutils: GNU Binutils ld libbfd.c bfd_putl64 memory corruption
libgprofng0	2.40-2	CVE-2025-1179	LOW	binutils: GNU Binutils ld libbfd.c bfd_putl64 memory corruption
libgprofng0	2.40-2	CVE-2025-1180	LOW	binutils: GNU Binutils ld elf-eh-frame.c _bfd_elf_write_section_eh_frame memory corruption
libgprofng0	2.40-2	CVE-2025-1181	LOW	binutils: GNU Binutils ld elflink.c _bfd_elf_gc_mark_rsec memory corruption
libgprofng0	2.40-2	CVE-2025-1182	LOW	binutils: GNU Binutils ld elflink.c bfd_elf_reloc_symbol_deleted_p memory corruption
libgprofng0	2.40-2	CVE-2025-3198	LOW	binutils: GNU Binutils objdump bucomm.c display_info memory leak
libgssapi-krb5-2	1.20.1-2+deb12u2	CVE-2024-26462	MEDIUM	krb5: Memory leak at /krb5/src/kdc/ndr.c
libgssapi-krb5-2	1.20.1-2+deb12u2	CVE-2025-24528	MEDIUM	krb5: overflow when calculating ulog block size
libgssapi-krb5-2	1.20.1-2+deb12u2	CVE-2025-3576	MEDIUM	krb5: Kerberos RC4-HMAC-MD5 Checksum Vulnerability Enabling Message Spoofing via MD5 Collisions
libgssapi-krb5-2	1.20.1-2+deb12u2	CVE-2018-5709	LOW	krb5: integer overflow in dbentry->n_key_data in kadmin/dbutil/dump.c
libgssapi-krb5-2	1.20.1-2+deb12u2	CVE-2024-26458	LOW	krb5: Memory leak at /krb5/src/lib/rpc/pmap_rmt.c
libgssapi-krb5-2	1.20.1-2+deb12u2	CVE-2024-26461	LOW	krb5: Memory leak at /krb5/src/lib/gssapi/krb5/k5sealv3.c
libitm1	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
libitm1	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
libjansson4	2.14-2	CVE-2020-36325	LOW	jansson: out-of-bounds read in json_loads() due to a parsing error
libk5crypto3	1.20.1-2+deb12u2	CVE-2024-26462	MEDIUM	krb5: Memory leak at /krb5/src/kdc/ndr.c
libk5crypto3	1.20.1-2+deb12u2	CVE-2025-24528	MEDIUM	krb5: overflow when calculating ulog block size
libk5crypto3	1.20.1-2+deb12u2	CVE-2025-3576	MEDIUM	krb5: Kerberos RC4-HMAC-MD5 Checksum Vulnerability Enabling Message Spoofing via MD5 Collisions
libk5crypto3	1.20.1-2+deb12u2	CVE-2018-5709	LOW	krb5: integer overflow in dbentry->n_key_data in kadmin/dbutil/dump.c
libk5crypto3	1.20.1-2+deb12u2	CVE-2024-26458	LOW	krb5: Memory leak at /krb5/src/lib/rpc/pmap_rmt.c
libk5crypto3	1.20.1-2+deb12u2	CVE-2024-26461	LOW	krb5: Memory leak at /krb5/src/lib/gssapi/krb5/k5sealv3.c
libkrb5-3	1.20.1-2+deb12u2	CVE-2024-26462	MEDIUM	krb5: Memory leak at /krb5/src/kdc/ndr.c
libkrb5-3	1.20.1-2+deb12u2	CVE-2025-24528	MEDIUM	krb5: overflow when calculating ulog block size
libkrb5-3	1.20.1-2+deb12u2	CVE-2025-3576	MEDIUM	krb5: Kerberos RC4-HMAC-MD5 Checksum Vulnerability Enabling Message Spoofing via MD5 Collisions
libkrb5-3	1.20.1-2+deb12u2	CVE-2018-5709	LOW	krb5: integer overflow in dbentry->n_key_data in kadmin/dbutil/dump.c
libkrb5-3	1.20.1-2+deb12u2	CVE-2024-26458	LOW	krb5: Memory leak at /krb5/src/lib/rpc/pmap_rmt.c
libkrb5-3	1.20.1-2+deb12u2	CVE-2024-26461	LOW	krb5: Memory leak at /krb5/src/lib/gssapi/krb5/k5sealv3.c
libkrb5support0	1.20.1-2+deb12u2	CVE-2024-26462	MEDIUM	krb5: Memory leak at /krb5/src/kdc/ndr.c
libkrb5support0	1.20.1-2+deb12u2	CVE-2025-24528	MEDIUM	krb5: overflow when calculating ulog block size
libkrb5support0	1.20.1-2+deb12u2	CVE-2025-3576	MEDIUM	krb5: Kerberos RC4-HMAC-MD5 Checksum Vulnerability Enabling Message Spoofing via MD5 Collisions
libkrb5support0	1.20.1-2+deb12u2	CVE-2018-5709	LOW	krb5: integer overflow in dbentry->n_key_data in kadmin/dbutil/dump.c
libkrb5support0	1.20.1-2+deb12u2	CVE-2024-26458	LOW	krb5: Memory leak at /krb5/src/lib/rpc/pmap_rmt.c
libkrb5support0	1.20.1-2+deb12u2	CVE-2024-26461	LOW	krb5: Memory leak at /krb5/src/lib/gssapi/krb5/k5sealv3.c
libldap-2.5-0	2.5.13+dfsg-5	CVE-2023-2953	HIGH	openldap: null pointer dereference in  ber_memalloc_x  function
libldap-2.5-0	2.5.13+dfsg-5	CVE-2015-3276	LOW	openldap: incorrect multi-keyword mode cipherstring parsing
libldap-2.5-0	2.5.13+dfsg-5	CVE-2017-14159	LOW	openldap: Privilege escalation via PID file manipulation
libldap-2.5-0	2.5.13+dfsg-5	CVE-2017-17740	LOW	openldap: contrib/slapd-modules/nops/nops.c attempts to free stack buffer allowing remote attackers to cause a denial of service
libldap-2.5-0	2.5.13+dfsg-5	CVE-2020-15719	LOW	openldap: Certificate validation incorrectly matches name against CN-ID
liblsan0	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
liblsan0	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
libmount1	2.38.1-5+deb12u3	CVE-2022-0563	LOW	util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline
libncursesw6	6.4-4	CVE-2023-50495	MEDIUM	ncurses: segmentation fault via _nc_wrap_entry()
libpam-modules	1.5.2-6+deb12u1	CVE-2024-10041	MEDIUM	pam: libpam: Libpam vulnerable to read hashed password
libpam-modules	1.5.2-6+deb12u1	CVE-2024-22365	MEDIUM	pam: allowing unprivileged user to block another user namespace
libpam-modules-bin	1.5.2-6+deb12u1	CVE-2024-10041	MEDIUM	pam: libpam: Libpam vulnerable to read hashed password
libpam-modules-bin	1.5.2-6+deb12u1	CVE-2024-22365	MEDIUM	pam: allowing unprivileged user to block another user namespace
libpam-runtime	1.5.2-6+deb12u1	CVE-2024-10041	MEDIUM	pam: libpam: Libpam vulnerable to read hashed password
libpam-runtime	1.5.2-6+deb12u1	CVE-2024-22365	MEDIUM	pam: allowing unprivileged user to block another user namespace
libpam0g	1.5.2-6+deb12u1	CVE-2024-10041	MEDIUM	pam: libpam: Libpam vulnerable to read hashed password
libpam0g	1.5.2-6+deb12u1	CVE-2024-22365	MEDIUM	pam: allowing unprivileged user to block another user namespace
libperl5.36	5.36.0-7+deb12u1	CVE-2023-31484	HIGH	perl: CPAN.pm does not verify TLS certificates when downloading distributions over HTTPS
libperl5.36	5.36.0-7+deb12u1	CVE-2024-56406	HIGH	perl: Perl 5.34, 5.36, 5.38 and 5.40 are vulnerable to a heap buffer overflow when transliterating non-ASCII bytes
libperl5.36	5.36.0-7+deb12u1	CVE-2011-4116	LOW	perl: File:: Temp insecure temporary file handling
libperl5.36	5.36.0-7+deb12u1	CVE-2023-31486	LOW	http-tiny: insecure TLS cert default
libproc2-0	2:4.0.2-3	CVE-2023-4016	LOW	procps: ps buffer overflow
libpython3.11-minimal	3.11.2-6+deb12u5	CVE-2025-0938	MEDIUM	python: cpython: URL parser allowed square brackets in domain names
libpython3.11-minimal	3.11.2-6+deb12u5	CVE-2025-1795	LOW	python: Mishandling of comma during folding and unicode-encoding of email headers
libpython3.11-stdlib	3.11.2-6+deb12u5	CVE-2025-0938	MEDIUM	python: cpython: URL parser allowed square brackets in domain names
libpython3.11-stdlib	3.11.2-6+deb12u5	CVE-2025-1795	LOW	python: Mishandling of comma during folding and unicode-encoding of email headers
libquadmath0	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
libquadmath0	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
libsmartcols1	2.38.1-5+deb12u3	CVE-2022-0563	LOW	util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline
libsqlite3-0	3.40.1-2+deb12u1	CVE-2025-29088	MEDIUM	sqlite: Denial of Service in SQLite
libsqlite3-0	3.40.1-2+deb12u1	CVE-2021-45346	LOW	sqlite: crafted SQL query allows a malicious user to obtain sensitive information
libssl3	3.0.15-1~deb12u1	CVE-2024-13176	MEDIUM	openssl: Timing side-channel in ECDSA signature computation
libstdc++-12-dev	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
libstdc++-12-dev	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
libstdc++6	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
libstdc++6	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
libsystemd0	252.36-1~deb12u1	CVE-2013-4392	LOW	systemd: TOCTOU race condition when updating file permissions and SELinux security contexts
libsystemd0	252.36-1~deb12u1	CVE-2023-31437	LOW	An issue was discovered in systemd 253. An attacker can modify a seale ...
libsystemd0	252.36-1~deb12u1	CVE-2023-31438	LOW	An issue was discovered in systemd 253. An attacker can truncate a sea ...
libsystemd0	252.36-1~deb12u1	CVE-2023-31439	LOW	An issue was discovered in systemd 253. An attacker can modify the con ...
libtinfo6	6.4-4	CVE-2023-50495	MEDIUM	ncurses: segmentation fault via _nc_wrap_entry()
libtsan2	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
libtsan2	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
libubsan1	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
libubsan1	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
libudev1	252.36-1~deb12u1	CVE-2013-4392	LOW	systemd: TOCTOU race condition when updating file permissions and SELinux security contexts
libudev1	252.36-1~deb12u1	CVE-2023-31437	LOW	An issue was discovered in systemd 253. An attacker can modify a seale ...
libudev1	252.36-1~deb12u1	CVE-2023-31438	LOW	An issue was discovered in systemd 253. An attacker can truncate a sea ...
libudev1	252.36-1~deb12u1	CVE-2023-31439	LOW	An issue was discovered in systemd 253. An attacker can modify the con ...
libuuid1	2.38.1-5+deb12u3	CVE-2022-0563	LOW	util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline
linux-libc-dev	6.1.129-1	CVE-2013-7445	HIGH	kernel: memory exhaustion via crafted Graphics Execution Manager (GEM) objects
linux-libc-dev	6.1.129-1	CVE-2019-19449	HIGH	kernel: mounting a crafted f2fs filesystem image can lead to slab-out-of-bounds read access in f2fs_build_segment_manager in fs/f2fs/segment.c
linux-libc-dev	6.1.129-1	CVE-2019-19814	HIGH	kernel: out-of-bounds write in __remove_dirty_segment in fs/f2fs/segment.c
linux-libc-dev	6.1.129-1	CVE-2021-3847	HIGH	kernel: low-privileged user privileges escalation
linux-libc-dev	6.1.129-1	CVE-2021-3864	HIGH	kernel: descendant's dumpable setting with certain SUID binaries
linux-libc-dev	6.1.129-1	CVE-2023-52452	HIGH	kernel: bpf: Fix accesses to uninit stack slots
linux-libc-dev	6.1.129-1	CVE-2023-52586	HIGH	kernel: drm/msm/dpu: Add mutex lock in control vblank irq
linux-libc-dev	6.1.129-1	CVE-2023-52624	HIGH	kernel: drm/amd/display: Wake DMCUB before executing GPINT commands
linux-libc-dev	6.1.129-1	CVE-2023-52751	HIGH	kernel: smb: client: fix use-after-free in smb2_query_info_compound()
linux-libc-dev	6.1.129-1	CVE-2024-21803	HIGH	kernel: bluetooth: use-after-free vulnerability in af_bluetooth.c
linux-libc-dev	6.1.129-1	CVE-2024-25742	HIGH	hw: amd: Instruction raise #VC exception at exit
linux-libc-dev	6.1.129-1	CVE-2024-25743	HIGH	hw: amd: Instruction raise #VC exception at exit
linux-libc-dev	6.1.129-1	CVE-2024-26669	HIGH	kernel: net/sched: flower: Fix chain template offload
linux-libc-dev	6.1.129-1	CVE-2024-26739	HIGH	kernel: net/sched: act_mirred: don't override retval if we already lost the skb
linux-libc-dev	6.1.129-1	CVE-2024-26836	HIGH	kernel: platform/x86: think-lmi: Fix password opcode ordering for workstations
linux-libc-dev	6.1.129-1	CVE-2024-26913	HIGH	kernel: drm/amd/display: Fix dcn35 8k30 Underflow/Corruption Issue
linux-libc-dev	6.1.129-1	CVE-2024-26930	HIGH	kernel: scsi: qla2xxx: Fix double free of the ha-&gt;vp_map pointer
linux-libc-dev	6.1.129-1	CVE-2024-26944	HIGH	kernel: btrfs: zoned: fix use-after-free in do_zone_finish()
linux-libc-dev	6.1.129-1	CVE-2024-26982	HIGH	kernel: Squashfs: check the inode number is not the invalid value of zero
linux-libc-dev	6.1.129-1	CVE-2024-27042	HIGH	kernel: drm/amdgpu: Fix potential out-of-bounds access in &#39;amdgpu_discovery_reg_base_init()&#39;
linux-libc-dev	6.1.129-1	CVE-2024-35866	HIGH	kernel: smb: client: fix potential UAF in cifs_dump_full_key()
linux-libc-dev	6.1.129-1	CVE-2024-35887	HIGH	kernel: ax25: fix use-after-free bugs caused by ax25_ds_del_timer
linux-libc-dev	6.1.129-1	CVE-2024-35929	HIGH	kernel: rcu/nocb: Fix WARN_ON_ONCE() in the rcu_nocb_bypass_lock()
linux-libc-dev	6.1.129-1	CVE-2024-36013	HIGH	kernel: Bluetooth: L2CAP: Fix slab-use-after-free in l2cap_connect()
linux-libc-dev	6.1.129-1	CVE-2024-36921	HIGH	kernel: wifi: iwlwifi: mvm: guard against invalid STA ID on removal
linux-libc-dev	6.1.129-1	CVE-2024-38570	HIGH	kernel: gfs2: Fix potential glock use-after-free on unmount
linux-libc-dev	6.1.129-1	CVE-2024-38630	HIGH	kernel: watchdog: cpu5wdt.c: Fix use-after-free bug caused by cpu5wdt_trigger
linux-libc-dev	6.1.129-1	CVE-2024-39479	HIGH	kernel: drm/i915/hwmon: Get rid of devm
linux-libc-dev	6.1.129-1	CVE-2024-39508	HIGH	kernel: io_uring/io-wq: Use set_bit() and test_bit() at worker->flags
linux-libc-dev	6.1.129-1	CVE-2024-41013	HIGH	kernel: xfs: don&#39;t walk off the end of a directory data block
linux-libc-dev	6.1.129-1	CVE-2024-42162	HIGH	kernel: gve: Account for stopped queues when reading NIC stats
linux-libc-dev	6.1.129-1	CVE-2024-44941	HIGH	kernel: f2fs: fix to cover read extent cache access with lock
linux-libc-dev	6.1.129-1	CVE-2024-44942	HIGH	kernel: f2fs: fix to do sanity check on F2FS_INLINE_DATA flag in inode during GC
linux-libc-dev	6.1.129-1	CVE-2024-44951	HIGH	kernel: serial: sc16is7xx: fix TX fifo corruption
linux-libc-dev	6.1.129-1	CVE-2024-46774	HIGH	kernel: powerpc/rtas: Prevent Spectre v1 gadget construction in sys_rtas()
linux-libc-dev	6.1.129-1	CVE-2024-46786	HIGH	kernel: fscache: delete fscache_cookie_lru_timer when fscache exits to avoid UAF
linux-libc-dev	6.1.129-1	CVE-2024-46811	HIGH	kernel: drm/amd/display: Fix index may exceed array range within fpu_update_bw_bounding_box
linux-libc-dev	6.1.129-1	CVE-2024-46813	HIGH	kernel: drm/amd/display: Check link_index before accessing dc-&gt;links[]
linux-libc-dev	6.1.129-1	CVE-2024-47691	HIGH	kernel: f2fs: fix to avoid use-after-free in f2fs_stop_gc_thread()
linux-libc-dev	6.1.129-1	CVE-2024-49928	HIGH	kernel: wifi: rtw89: avoid reading out of bounds when loading TX power FW elements
linux-libc-dev	6.1.129-1	CVE-2024-50029	HIGH	kernel: Bluetooth: hci_conn: Fix UAF in hci_enhanced_setup_sync
linux-libc-dev	6.1.129-1	CVE-2024-50063	HIGH	kernel: bpf: Prevent tail call between progs attached to different hooks
linux-libc-dev	6.1.129-1	CVE-2024-50112	HIGH	kernel: x86/lam: Disable ADDRESS_MASKING in most cases
linux-libc-dev	6.1.129-1	CVE-2024-50217	HIGH	kernel: btrfs: fix use-after-free of block device file in __btrfs_free_extra_devids()
linux-libc-dev	6.1.129-1	CVE-2024-50226	HIGH	kernel: cxl/port: Fix use-after-free, permit out-of-order decoder shutdown
linux-libc-dev	6.1.129-1	CVE-2024-50246	HIGH	kernel: fs/ntfs3: Add rough attr alloc_size check
linux-libc-dev	6.1.129-1	CVE-2024-53068	HIGH	kernel: firmware: arm_scmi: Fix slab-use-after-free in scmi_bus_notifier()
linux-libc-dev	6.1.129-1	CVE-2024-53108	HIGH	kernel: drm/amd/display: Adjust VSDB parser for replay feature
linux-libc-dev	6.1.129-1	CVE-2024-53133	HIGH	kernel: drm/amd/display: Handle dml allocation failure to avoid crash
linux-libc-dev	6.1.129-1	CVE-2024-53166	HIGH	kernel: block, bfq: fix bfqq uaf in bfq_limit_depth()
linux-libc-dev	6.1.129-1	CVE-2024-53168	HIGH	kernel: sunrpc: fix one UAF issue caused by sunrpc kernel tcp socket
linux-libc-dev	6.1.129-1	CVE-2024-53179	HIGH	kernel: smb: client: fix use-after-free of signing key
linux-libc-dev	6.1.129-1	CVE-2024-53203	HIGH	kernel: usb: typec: fix potential array underflow in ucsi_ccg_sync_control()
linux-libc-dev	6.1.129-1	CVE-2024-53216	HIGH	kernel: nfsd: release svc_expkey/svc_export with rcu_work
linux-libc-dev	6.1.129-1	CVE-2024-56538	HIGH	kernel: drm: zynqmp_kms: Unplug DRM device before removal
linux-libc-dev	6.1.129-1	CVE-2024-56775	HIGH	kernel: drm/amd/display: Fix handling of plane refcount
linux-libc-dev	6.1.129-1	CVE-2024-56784	HIGH	kernel: drm/amd/display: Adding array index check to prevent memory corruption
linux-libc-dev	6.1.129-1	CVE-2024-57900	HIGH	kernel: ila: serialize calls to nf_register_net_hooks()
linux-libc-dev	6.1.129-1	CVE-2024-57982	HIGH	kernel: xfrm: state: fix out-of-bounds read during lookup
linux-libc-dev	6.1.129-1	CVE-2024-57984	HIGH	kernel: i3c: dw: Fix use-after-free in dw_i3c_master driver due to race condition
linux-libc-dev	6.1.129-1	CVE-2024-58002	HIGH	kernel: media: uvcvideo: Remove dangling pointers
linux-libc-dev	6.1.129-1	CVE-2025-21702	HIGH	kernel: pfifo_tail_enqueue: Drop new packet when sch->limit == 0
linux-libc-dev	6.1.129-1	CVE-2025-21855	HIGH	kernel: ibmvnic: Don't reference skb after sending to VIOS
linux-libc-dev	6.1.129-1	CVE-2025-21858	HIGH	kernel: geneve: Fix use-after-free in geneve_find_dev().
linux-libc-dev	6.1.129-1	CVE-2025-21863	HIGH	kernel: io_uring: prevent opcode speculation
linux-libc-dev	6.1.129-1	CVE-2025-21905	HIGH	kernel: wifi: iwlwifi: limit printed string from FW file
linux-libc-dev	6.1.129-1	CVE-2025-21919	HIGH	kernel: sched/fair: Fix potential memory corruption in child_cfs_rq_on_list
linux-libc-dev	6.1.129-1	CVE-2025-21920	HIGH	kernel: vlan: enforce underlying device type
linux-libc-dev	6.1.129-1	CVE-2025-21926	HIGH	kernel: net: gso: fix ownership in __udp_gso_segment
linux-libc-dev	6.1.129-1	CVE-2025-21927	HIGH	kernel: nvme-tcp: fix potential memory corruption in nvme_tcp_recv_pdu()
linux-libc-dev	6.1.129-1	CVE-2025-21928	HIGH	kernel: HID: intel-ish-hid: Fix use-after-free issue in ishtp_hid_remove()
linux-libc-dev	6.1.129-1	CVE-2025-21934	HIGH	kernel: rapidio: fix an API misues when rio_add_net() fails
linux-libc-dev	6.1.129-1	CVE-2025-21945	HIGH	kernel: ksmbd: fix use-after-free in smb2_lock
linux-libc-dev	6.1.129-1	CVE-2025-21967	HIGH	kernel: ksmbd: fix use-after-free in ksmbd_free_work_struct
linux-libc-dev	6.1.129-1	CVE-2025-21968	HIGH	kernel: drm/amd/display: Fix slab-use-after-free on hdcp_work
linux-libc-dev	6.1.129-1	CVE-2025-21969	HIGH	kernel: Bluetooth: L2CAP: Fix slab-use-after-free Read in l2cap_send_cmd
linux-libc-dev	6.1.129-1	CVE-2025-21979	HIGH	kernel: wifi: cfg80211: cancel wiphy_work before freeing wiphy
linux-libc-dev	6.1.129-1	CVE-2025-21991	HIGH	kernel: x86/microcode/AMD: Fix out-of-bounds on systems with CPU-less NUMA nodes
linux-libc-dev	6.1.129-1	CVE-2025-21993	HIGH	kernel: iscsi_ibft: Fix UBSAN shift-out-of-bounds warning in ibft_attr_show_nic()
linux-libc-dev	6.1.129-1	CVE-2025-22055	HIGH	kernel: net: fix geneve_opt length integer overflow
linux-libc-dev	6.1.129-1	CVE-2025-22058	HIGH	kernel: udp: Fix memory accounting leak.
linux-libc-dev	6.1.129-1	CVE-2025-37785	HIGH	kernel: ext4: fix OOB read when checking dotdot dir
linux-libc-dev	6.1.129-1	CVE-2025-39735	HIGH	kernel: jfs: fix slab-out-of-bounds read in ea_get()
linux-libc-dev	6.1.129-1	CVE-2025-40014	HIGH	kernel: objtool, spi: amd: Fix out-of-bounds stack access in amd_set_spi_freq()
linux-libc-dev	6.1.129-1	CVE-2019-15213	MEDIUM	kernel: use-after-free caused by malicious USB device in drivers/media/usb/dvb-usb/dvb-usb-init.c
linux-libc-dev	6.1.129-1	CVE-2019-16089	MEDIUM	kernel: Improper return check in nbd_genl_status function in drivers/block/nbd.c
linux-libc-dev	6.1.129-1	CVE-2019-20794	MEDIUM	kernel: task processes not being properly ended could lead to resource exhaustion
linux-libc-dev	6.1.129-1	CVE-2020-14304	MEDIUM	kernel: ethtool when reading eeprom of device could lead to memory leak
linux-libc-dev	6.1.129-1	CVE-2020-36694	MEDIUM	kernel: netfilter: use-after-free in the packet processing context
linux-libc-dev	6.1.129-1	CVE-2021-47658	MEDIUM	kernel: drm/amd/pm: fix a potential gpu_metrics_table memory leak
linux-libc-dev	6.1.129-1	CVE-2023-0597	MEDIUM	kernel: x86/mm: Randomize per-cpu entry area
linux-libc-dev	6.1.129-1	CVE-2023-21264	MEDIUM	In multiple functions of mem_protect.c, there is a possible way to acc ...
linux-libc-dev	6.1.129-1	CVE-2023-23005	MEDIUM	kernel: incorrect check for error case in the memory_tier_init
linux-libc-dev	6.1.129-1	CVE-2023-31082	MEDIUM	kernel: sleeping function called from an invalid context in gsmld_write
linux-libc-dev	6.1.129-1	CVE-2023-3397	MEDIUM	kernel: slab-use-after-free Write in txEnd due to race condition
linux-libc-dev	6.1.129-1	CVE-2023-37454	MEDIUM	kernel: udf: use-after-free write in udf_close_lvid
linux-libc-dev	6.1.129-1	CVE-2023-4010	MEDIUM	kernel: usb: hcd: malformed USB descriptor leads to infinite loop in usb_giveback_urb()
linux-libc-dev	6.1.129-1	CVE-2023-4133	MEDIUM	kernel: cxgb4: use-after-free in ch_flower_stats_cb()
linux-libc-dev	6.1.129-1	CVE-2023-52485	MEDIUM	kernel: drm/amd/display: Wake DMCUB before sending a command cause deadlock
linux-libc-dev	6.1.129-1	CVE-2023-52590	MEDIUM	kernel: ocfs2: Avoid touching renamed directory if parent does not change
linux-libc-dev	6.1.129-1	CVE-2023-52591	MEDIUM	kernel: reiserfs: Avoid touching renamed directory if parent does not change
linux-libc-dev	6.1.129-1	CVE-2023-52596	MEDIUM	kernel: sysctl: Fix out of bounds access for empty sysctl registers
linux-libc-dev	6.1.129-1	CVE-2023-52625	MEDIUM	kernel: drm/amd/display: Refactor DMCUB enter/exit idle interface
linux-libc-dev	6.1.129-1	CVE-2023-52629	MEDIUM	kernel: sh: push-switch: Reorder cleanup operations to avoid use-after-free bug
linux-libc-dev	6.1.129-1	CVE-2023-52648	MEDIUM	kernel: drm/vmwgfx: Unmap the surface before resetting it on a plane state
linux-libc-dev	6.1.129-1	CVE-2023-52653	MEDIUM	kernel: SUNRPC: fix a memleak in gss_import_v2_context
linux-libc-dev	6.1.129-1	CVE-2023-52658	MEDIUM	kernel: Revert &#34;net/mlx5: Block entering switchdev mode with ns inconsistency&#34;
linux-libc-dev	6.1.129-1	CVE-2023-52671	MEDIUM	kernel: drm/amd/display: Fix hang/underflow when transitioning to ODM4:1
linux-libc-dev	6.1.129-1	CVE-2023-52673	MEDIUM	kernel: drm/amd/display: Fix a debugfs null pointer error
linux-libc-dev	6.1.129-1	CVE-2023-52676	MEDIUM	kernel: bpf: Guard stack limits against 32bit overflow
linux-libc-dev	6.1.129-1	CVE-2023-52761	MEDIUM	kernel: riscv: VMAP_STACK overflow detection thread-safe
linux-libc-dev	6.1.129-1	CVE-2023-52770	MEDIUM	kernel: f2fs: split initial and dynamic conditions for extent_cache
linux-libc-dev	6.1.129-1	CVE-2023-52771	MEDIUM	kernel: cxl/port: Fix delete_endpoint() vs parent unregistration race
linux-libc-dev	6.1.129-1	CVE-2023-52797	MEDIUM	kernel: drivers: perf: Check find_first_bit() return value
linux-libc-dev	6.1.129-1	CVE-2023-52857	MEDIUM	kernel: drm/mediatek: Fix coverity issue with unintentional integer overflow
linux-libc-dev	6.1.129-1	CVE-2023-52888	MEDIUM	kernel: media: mediatek: vcodec: Only free buffer VA that is not NULL
